tweet_id,user_id,user_screen_name,user_followers_count,user_friends_count,text,created_at,retweet_count,favorite_count,lang,geo,hashtags,mentions,urls,label,reply_to_tweet_id
529399936434327552,23607802,AUXTV,17276,812,can someone get us in 2 the secret prince show in toronto tomorrow,Mon Nov 03 22:29:15 +0000 2014,15,8,en,,,,,1,
529402501645475841,965424487,my__villa,1043,2000,“@AUXTV: can someone get us in 2 the secret prince show in toronto tomorrow” WHAAAAATTTT?!?!?,Mon Nov 03 22:39:26 +0000 2014,0,0,en,,,AUXTV,,1,529399936434327552
529402532490379264,34408255,jtatkins,2440,362,@AUXTV is massey confirmed?,Mon Nov 03 22:39:34 +0000 2014,0,1,en,"{'type': 'Point', 'coordinates': [43.66599899, -79.38277693]}",,AUXTV,,1,529399936434327552
529403203683885057,23607802,AUXTV,17286,812,@AUXTV http://t.co/S0gyzOYlwP,Mon Nov 03 22:42:14 +0000 2014,0,1,und,,,AUXTV,http://twitter.com/AUXTV/status/529403203683885057/photo/1,1,529399936434327552
529403716202270720,40607984,Max_Mertens,1940,938,@AUXTV cc: @PrinceTweets2U,Mon Nov 03 22:44:16 +0000 2014,0,0,und,,,"AUXTV,PrinceTweets2U",,1,529399936434327552
529404446388678656,59129270,therewasnosound,621,1181,@AUXTV whaaaaa,Mon Nov 03 22:47:10 +0000 2014,0,1,und,,,AUXTV,,1,529399936434327552
529405109982470144,131099299,Kifelife,186,618,"Tell us more! ""@AUXTV: can someone get us in 2 the secret prince show in toronto tomorrow”",Mon Nov 03 22:49:48 +0000 2014,0,1,en,,,AUXTV,,1,529399936434327552
529411547177553921,747339266,FOHPhoto,380,401,@AUXTV way to keep it secret,Mon Nov 03 23:15:23 +0000 2014,0,1,en,,,AUXTV,,1,529399936434327552
529411980244041728,965424487,my__villa,1043,2000,@FOHPhoto lolol we want to know,Mon Nov 03 23:17:06 +0000 2014,0,1,en,,,FOHPhoto,,1,529411547177553921
529422750403035136,291414445,JillKrajewski,827,373,"2 enter u must purify urself in Lake Minnetonka ""@AUXTV: can someone get us in 2 the secret prince show in toronto tomorrow""",Mon Nov 03 23:59:54 +0000 2014,0,7,en,,,AUXTV,,1,529399936434327552
